# Cosmic Chronometers — 18 uncorrelated H(z) measurements
# Source: Moresco (2024), 'Measuring the expansion history of the Universe with
#         cosmic chronometers', arXiv:2412.01994, Table 1 (Encyclopedia of Astrophysics, Elsevier).
# Selection: full Moresco 2024 Table 1 has 35 entries; we drop Jimenez et al. (2023)
#            and Jiao et al. (2023), the two 'a'-flagged duplicates of Borghi (2022)
#            and an alternative measurement at z=0.8 respectively, to avoid using
#            statistically-correlated alternative measurements jointly. Following
#            Pataki et al. (2025, A&A), we retain only those flagged points already
#            present in Moresco et al. (2022) Living Reviews -> Borghi (2022).
# Together with the 15 Moresco-group BC03 measurements (HzTable_MM_BC03.dat,
# Moresco 2020, with full 15x15 systematic+statistical covariance) this yields
# the canonical 33-point CC compilation.
# Methods: F = full-spectrum fitting, D = D4000n, L = Lick indices, ML = ML regression.
# Columns: z (redshift), Hz [km/s/Mpc], errHz [km/s/Mpc], method, reference.
z,Hz,errHz,method,ref
0.07,69.0,19.6,F,Zhang2014
0.09,69.0,12.0,F,Simon2005
0.12,68.6,26.2,F,Zhang2014
0.17,83.0,8.0,F,Simon2005
0.2,72.9,29.6,F,Zhang2014
0.27,77.0,14.0,F,Simon2005
0.28,88.8,36.6,F,Zhang2014
0.4,95.0,17.0,F,Simon2005
0.47,89.0,49.6,F,Ratsimbazafy2017
0.48,97.0,62.0,F,Stern2010
0.75,98.8,33.6,L,Borghi2022
0.88,90.0,40.0,F,Stern2010
0.9,117.0,23.0,F,Simon2005
1.26,135.0,65.0,F,Tomasetti2023
1.3,168.0,17.0,F,Simon2005
1.43,177.0,18.0,F,Simon2005
1.53,140.0,14.0,F,Simon2005
1.75,202.0,40.0,F,Simon2005
